price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_per_sqft
8680000,7155,3,2,1,1,1,1,0,1,2,0,0,1213.1376659678547
8645000,8050,3,1,1,1,1,1,0,1,1,0,2,1073.9130434782608
8575000,8800,3,2,2,1,0,0,0,1,2,0,2,974.4318181818181
8540000,6540,4,2,2,1,1,1,0,1,2,1,2,1305.8103975535169
8463000,6000,3,2,4,1,1,1,0,1,0,1,1,1410.5
8400000,8875,3,1,1,1,0,0,0,0,1,0,1,946.4788732394367
8400000,7950,5,2,2,1,0,1,1,0,2,0,0,1056.6037735849056
8400000,5500,4,2,2,1,0,1,0,1,1,1,1,1527.2727272727273
8400000,7475,3,2,4,1,0,0,0,1,2,0,0,1123.7458193979933
8400000,7000,3,1,4,1,0,0,0,1,2,0,1,1200.0
8190000,5960,3,3,2,1,1,1,0,0,1,0,0,1374.1610738255033
8120000,6840,5,1,2,1,1,1,0,1,1,0,2,1187.1345029239767
8080940,7000,3,2,4,1,0,0,0,1,2,0,2,1154.42
8043000,7482,3,2,3,1,0,0,1,0,1,1,2,1074.979951884523
7980000,9000,4,2,4,1,0,0,0,1,2,0,2,886.6666666666666
7962500,6000,3,1,4,1,1,0,0,1,2,0,0,1327.0833333333333
7910000,6000,4,2,4,1,0,0,0,1,1,0,1,1318.3333333333333
7875000,6550,3,1,2,1,0,1,0,1,0,1,2,1202.2900763358778
7840000,6360,3,2,4,1,0,0,0,1,0,1,2,1232.7044025157234
7700000,6480,3,2,4,1,0,0,0,1,2,0,0,1188.2716049382716
7700000,6000,4,2,4,1,0,0,0,0,2,0,1,1283.3333333333333
7560000,6000,4,2,4,1,0,0,0,1,1,0,2,1260.0
7560000,6000,3,2,3,1,0,0,0,1,0,0,1,1260.0
7525000,6000,3,2,4,1,0,0,0,1,1,0,2,1254.1666666666667
7490000,6600,3,1,4,1,0,0,0,1,3,1,2,1134.8484848484848
7420000,7440,3,2,1,1,1,1,0,1,0,1,1,997.3118279569892
7420000,7440,3,2,4,1,0,0,0,0,1,1,0,997.3118279569892
7420000,6325,3,1,4,1,0,0,0,1,1,0,0,1173.1225296442688
7350000,6000,4,2,4,1,1,0,0,1,1,0,2,1225.0
7350000,5150,3,2,4,1,0,0,0,1,2,0,1,1427.1844660194174
7350000,6000,3,2,2,1,1,0,0,1,1,0,1,1225.0
7350000,6000,3,1,2,1,0,0,0,1,1,0,0,1225.0
7245000,9000,4,2,4,1,1,0,0,1,1,1,2,805.0
7210000,7680,4,2,4,1,1,0,0,1,1,0,1,938.8020833333334
7210000,6000,3,2,4,1,1,0,0,1,1,0,2,1201.6666666666667
7140000,6000,3,2,2,1,1,0,0,0,1,0,1,1190.0
7070000,8880,2,1,1,1,0,0,0,1,1,0,1,796.1711711711712
7070000,6240,4,2,2,1,0,0,0,1,1,0,2,1133.0128205128206
7035000,6360,4,2,3,1,0,0,0,1,2,1,2,1106.132075471698
6930000,8880,3,2,2,1,0,1,0,1,1,0,2,780.4054054054054
6895000,7700,3,2,1,1,0,0,0,0,2,0,0,895.4545454545455
6860000,6000,3,1,1,1,0,0,0,1,1,0,2,1143.3333333333333
6755000,6000,4,2,4,1,0,0,0,1,0,0,0,1125.8333333333333
6720000,5020,3,1,4,1,0,0,0,1,0,1,0,1338.6454183266933
6685000,6600,2,2,4,1,0,1,0,0,0,1,2,1012.8787878787879
6650000,4040,3,1,2,1,0,1,1,0,1,0,2,1646.039603960396
6650000,4260,4,2,2,1,0,0,1,0,0,0,1,1561.0328638497654
6650000,6420,3,2,3,1,0,0,0,1,0,1,2,1035.8255451713396
6650000,6500,3,2,3,1,0,0,0,1,0,1,2,1023.0769230769231
6650000,5700,3,1,1,1,1,1,0,1,2,1,2,1166.6666666666667
6650000,6000,3,2,3,1,1,0,0,1,0,0,2,1108.3333333333333
6629000,6000,3,1,2,1,0,0,1,0,1,1,1,1104.8333333333333
6615000,4000,3,2,2,1,0,1,0,1,1,0,1,1653.75
6580000,6000,3,2,4,1,0,0,0,1,0,0,1,1096.6666666666667
6510000,8250,3,2,3,1,0,0,0,1,0,0,2,789.0909090909091
6510000,6670,3,1,3,1,0,1,0,0,0,1,0,976.0119940029984
6475000,3960,3,1,1,1,0,1,0,0,2,0,1,1635.1010101010102
6475000,7410,3,1,1,1,1,1,0,1,2,1,0,873.8191632928475
6440000,8580,5,3,2,1,0,0,0,0,2,0,2,750.5827505827506
6440000,5000,3,1,2,1,0,0,0,1,0,0,1,1288.0
6419000,6750,2,1,1,1,1,1,0,0,2,1,2,950.9629629629629
6405000,4800,3,2,4,1,1,0,0,1,0,0,2,1334.375
6300000,7200,3,2,1,1,0,1,0,1,3,0,1,875.0
6300000,6000,4,2,4,1,0,0,0,0,1,0,1,1050.0
6300000,4100,3,2,3,1,0,0,0,1,2,0,1,1536.5853658536585
6300000,9000,3,1,1,1,0,1,0,0,1,1,2,700.0
6300000,6400,3,1,1,1,1,1,0,1,1,1,1,984.375
6293000,6600,3,2,3,1,0,0,0,1,0,1,0,953.4848484848485
6265000,6000,4,1,3,1,1,1,0,0,0,1,0,1044.1666666666667
6230000,6600,3,2,1,1,0,1,0,1,0,1,0,943.939393939394
6230000,5500,3,1,3,1,0,0,0,0,1,1,0,1132.7272727272727
6195000,5500,3,2,4,1,1,0,0,1,1,0,1,1126.3636363636363
6195000,6350,3,2,3,1,1,0,0,1,0,0,2,975.5905511811023
6195000,5500,3,2,1,1,1,1,0,0,2,1,2,1126.3636363636363
6160000,4500,3,1,4,1,0,0,0,1,0,0,0,1368.888888888889
6160000,5450,4,2,1,1,0,1,0,1,0,1,1,1130.2752293577983
6125000,6420,3,1,3,1,0,1,0,0,0,1,0,954.0498442367601
6090000,6615,4,2,2,1,1,0,1,0,1,0,1,920.6349206349206
6090000,6600,3,1,1,1,1,1,0,0,2,1,1,922.7272727272727
6090000,8372,3,1,3,1,0,0,0,1,2,0,0,727.4247491638796
6083000,4300,6,2,2,1,0,0,0,0,0,0,2,1414.6511627906978
6083000,9620,3,1,1,1,0,1,0,0,2,1,2,632.3284823284823
6020000,6800,2,1,1,1,1,1,0,0,2,0,2,885.2941176470588
6020000,8000,3,1,1,1,1,1,0,1,2,1,1,752.5
6020000,6900,3,2,1,1,1,1,0,0,0,1,0,872.463768115942
5950000,3700,4,1,2,1,1,0,0,1,0,0,2,1608.1081081081081
5950000,6420,3,1,1,1,0,1,0,1,0,1,2,926.791277258567
5950000,7020,3,1,1,1,0,1,0,1,2,1,1,847.5783475783476
5950000,6540,3,1,1,1,1,1,0,0,2,1,2,909.7859327217126
5950000,7231,3,1,2,1,1,1,0,1,0,1,1,822.8460793804453
5950000,6254,4,2,1,1,0,1,0,0,1,1,1,951.3911096897986
5950000,7320,4,2,2,1,0,0,0,0,0,0,2,812.8415300546449
5950000,6525,3,2,4,1,0,0,0,0,1,0,2,911.8773946360153
5880000,7160,3,1,1,1,0,1,0,0,2,1,0,821.2290502793296
5880000,6500,3,2,3,1,0,0,0,1,0,0,0,904.6153846153846
5873000,5500,3,1,3,1,1,0,0,1,1,0,2,1067.8181818181818
5866000,4800,3,1,1,1,1,1,0,0,0,0,0,1222.0833333333333
5810000,5828,4,1,4,1,1,0,0,0,0,0,1,996.9114619080302
5810000,5200,3,1,3,1,0,0,0,1,0,0,1,1117.3076923076924
5810000,4800,3,1,3,1,0,0,0,1,0,0,0,1210.4166666666667
5803000,7000,3,1,1,1,0,1,0,0,2,1,1,829.0
5775000,6000,3,2,4,1,0,0,0,1,0,0,0,962.5
5740000,5400,4,2,2,1,0,0,0,1,2,0,0,1062.962962962963
5740000,4640,4,1,2,1,0,0,0,0,1,0,1,1237.0689655172414
5740000,5000,3,1,3,1,0,0,0,1,0,0,1,1148.0
